"","type","term","event.time","estimate","std.error","conf.low","conf.high","point.conf.low","point.conf.high","nobs","ngroup","ntime","control.group","est.method","group","outcome","point_crit","simult_crit"
"1","dynamic","ATT(-18)",-18,25.6016054333058,26.2863923188786,-41.6654098474445,92.868620714056,-25.9187767951865,77.121987661798,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"2","dynamic","ATT(-17)",-17,15.4937064479679,106.068532489948,-255.936222362912,286.923635258847,-192.396797125346,223.384210021282,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"3","dynamic","ATT(-16)",-16,73.5704776975431,55.6840030542626,-68.9251770467678,216.066132441854,-35.5681628038299,182.709118198916,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"4","dynamic","ATT(-15)",-15,173.523057176376,54.2098144181412,34.7998588539936,312.246255498758,67.2737733082191,279.772341044533,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463251
"5","dynamic","ATT(-14)",-14,43.8495647415569,79.7537285941142,-160.240643414705,247.939772897819,-112.464870935689,200.164000418803,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"6","dynamic","ATT(-13)",-13,-60.0353987003534,75.6572726749184,-253.642754756916,133.57195735621,-208.32092831172,88.250130911013,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463251
"7","dynamic","ATT(-12)",-12,-23.2310535557821,71.0241543601216,-204.98223563844,158.520128526875,-162.435838134034,115.97373102247,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"8","dynamic","ATT(-11)",-11,-65.2396366464471,50.4952029994169,-194.457124940834,63.9778516479402,-164.208415917343,33.7291426244489,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"9","dynamic","ATT(-10)",-10,-78.5736293482039,68.4702957083427,-253.789473797986,96.6422151015784,-212.772942947363,55.6256842509552,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"10","dynamic","ATT(-9)",-9,-62.3018818529636,52.7219378180799,-197.217596182181,72.6138324762534,-165.63498117156,41.0312174656332,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"11","dynamic","ATT(-8)",-8,-58.9409813077589,113.400395652891,-349.133186258902,231.251223643385,-281.201672620018,163.319710004501,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"12","dynamic","ATT(-7)",-7,61.1991060794029,102.374946352893,-200.778916509124,323.177128667929,-139.452101691487,261.850313850293,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463251
"13","dynamic","ATT(-6)",-6,24.5046080729844,75.3928449789412,-168.426076128035,217.435292274004,-123.262652777752,172.271868923721,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"14","dynamic","ATT(-5)",-5,1.49019992101838,73.5292817389309,-186.671616212382,189.652016054419,-142.624544096385,145.604943938422,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"15","dynamic","ATT(-4)",-4,-207.883523876425,205.546882412654,-733.879069877333,318.112022124482,-610.748010539717,194.980962786866,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463251
"16","dynamic","ATT(-3)",-3,-41.7042401878702,55.6205200572601,-184.037441611176,100.628961235436,-150.718456301488,67.3099759257472,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"17","dynamic","ATT(-2)",-2,9.8334010110321,16.4507817533885,-32.2642354451782,51.9310374672424,-22.4095387431379,42.0763407652021,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463251
"18","dynamic","ATT(-1)",-1,0,NA,NA,NA,NA,NA,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",NA,NA
"19","dynamic","ATT(0)",0,-87.5614301647014,41.2016530244013,-192.99667551764,17.8738151882376,-168.315186196044,-6.80767413335906,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"20","dynamic","ATT(1)",1,-80.1466370059318,46.9604107664513,-200.31857350817,40.0252994963062,-172.187350807383,11.8940767955198,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
"21","dynamic","ATT(2)",2,-114.689200862705,34.11017668597,-201.977321215241,-27.4010805101697,-181.543918673504,-47.8344830519062,37,2,20,"notyettreated","reg",NA,"rate_total_cannabis_1899",1.95996398454005,2.55900522463252
